# wn[cm-1] real imag
2697.97 1.39236 2.3900e-03
2690.25 1.39094 2.3300e-03
2682.54 1.38954 2.2800e-03
2674.83 1.38816 2.2500e-03
2667.11 1.38681 2.2400e-03
2659.40 1.38549 2.2400e-03
2651.68 1.38419 2.2600e-03
2643.97 1.38293 2.2900e-03
2636.25 1.38168 2.3300e-03
2628.54 1.38047 2.3900e-03
2620.83 1.37927 2.4500e-03
2613.12 1.37809 2.5300e-03
2605.40 1.37693 2.6200e-03
2597.69 1.37579 2.7400e-03
2589.98 1.37468 2.8700e-03
2582.26 1.37359 3.0200e-03
2574.55 1.37254 3.1900e-03
2566.83 1.37152 3.3500e-03
2559.12 1.37052 3.5300e-03
2551.40 1.36955 3.7000e-03
2543.69 1.36859 3.8900e-03
2535.97 1.36767 4.0700e-03
2528.26 1.36674 4.2700e-03
2520.55 1.36586 4.4800e-03
2512.83 1.36498 4.6800e-03
2505.12 1.36413 4.9000e-03
2497.40 1.36329 5.1100e-03
2489.69 1.36248 5.3400e-03
2481.97 1.36168 5.5700e-03
2474.26 1.36091 5.8100e-03
2466.55 1.36017 6.0400e-03
2458.83 1.35944 6.2600e-03
2451.12 1.35873 6.4800e-03
2443.41 1.35803 6.6900e-03
2435.69 1.35732 6.8900e-03
2427.98 1.35662 7.1000e-03
2420.26 1.35592 7.3200e-03
2412.55 1.35523 7.5400e-03
2404.84 1.35455 7.7800e-03
2397.12 1.35387 8.0300e-03
2389.41 1.35322 8.2900e-03
2381.70 1.35260 8.5500e-03
2373.98 1.35198 8.7900e-03
2366.27 1.35137 9.0200e-03
2358.55 1.35072 9.2400e-03
2350.84 1.35007 9.4800e-03
2343.13 1.34938 9.7500e-03
2335.41 1.34869 1.0090e-02
2327.70 1.34803 1.0470e-02
2319.99 1.34741 1.0900e-02
2312.27 1.34684 1.1360e-02
2304.56 1.34632 1.1820e-02
2296.84 1.34585 1.2280e-02
2289.13 1.34540 1.2740e-02
2281.41 1.34497 1.3190e-02
2273.70 1.34457 1.3660e-02
2265.99 1.34419 1.4150e-02
2258.27 1.34386 1.4660e-02
2250.56 1.34357 1.5180e-02
2242.85 1.34335 1.5710e-02
2235.13 1.34318 1.6230e-02
2227.41 1.34307 1.6750e-02
2219.70 1.34304 1.7240e-02
2211.99 1.34307 1.7700e-02
2204.27 1.34315 1.8120e-02
2196.56 1.34332 1.8490e-02
2188.84 1.34351 1.8800e-02
2181.13 1.34382 1.9030e-02
2173.42 1.34411 1.9160e-02
2165.70 1.34447 1.9190e-02
2157.99 1.34484 1.9090e-02
2150.27 1.34516 1.8870e-02
2142.56 1.34546 1.8520e-02
2134.85 1.34567 1.8070e-02
2127.13 1.34578 1.7540e-02
2119.42 1.34580 1.6960e-02
2111.71 1.34571 1.6340e-02
2103.99 1.34553 1.5700e-02
2096.28 1.34526 1.5060e-02
2088.56 1.34491 1.4430e-02
2080.85 1.34448 1.3800e-02
2073.14 1.34398 1.3200e-02
2065.42 1.34344 1.2610e-02
2057.71 1.34280 1.2040e-02
2050.00 1.34213 1.1510e-02
2042.28 1.34139 1.1000e-02
2034.57 1.34060 1.0530e-02
2026.85 1.33976 1.0110e-02
2019.14 1.33889 9.7300e-03
2011.42 1.33800 9.3900e-03
2003.71 1.33707 9.0900e-03
1996.00 1.33614 8.8300e-03
1988.28 1.33517 8.5900e-03
1980.57 1.33418 8.3900e-03
1972.85 1.33317 8.2200e-03
1965.14 1.33215 8.0800e-03
1957.43 1.33109 7.9700e-03
1949.71 1.33003 7.8900e-03
1942.00 1.32894 7.8400e-03
1934.28 1.32783 7.8100e-03
1926.57 1.32670 7.8200e-03
1918.86 1.32555 7.8500e-03
1911.14 1.32437 7.9100e-03
1903.43 1.32317 8.0000e-03
1895.71 1.32193 8.1200e-03
1888.00 1.32068 8.2700e-03
