# wn[cm-1] real imag
5.3908e+03 1.2805 1.377e-04
5.3763e+03 1.2802 1.432e-04
5.3476e+03 1.2797 1.632e-04
5.2910e+03 1.2788 2.566e-04
5.2493e+03 1.2780 4.081e-04
5.2002e+03 1.2771 7.060e-04
5.1493e+03 1.2762 1.108e-03
5.0994e+03 1.2756 1.442e-03
5.0505e+03 1.2750 1.614e-03
5.0000e+03 1.2744 1.640e-03
4.9505e+03 1.2736 1.566e-03
4.8996e+03 1.2728 1.458e-03
4.8497e+03 1.2718 1.267e-03
4.8008e+03 1.2707 1.023e-03
4.7506e+03 1.2694 7.586e-04
4.6948e+03 1.2677 5.255e-04
4.6512e+03 1.2663 4.025e-04
4.6083e+03 1.2648 3.235e-04
4.5662e+03 1.2633 2.707e-04
4.5045e+03 1.2609 2.228e-04
4.4643e+03 1.2591 2.037e-04
4.4543e+03 1.2587 2.026e-04
4.4444e+03 1.2582 2.035e-04
4.4248e+03 1.2573 2.078e-04
4.4053e+03 1.2564 2.171e-04
4.3668e+03 1.2545 2.538e-04
4.3290e+03 1.2525 3.138e-04
4.2918e+03 1.2504 3.858e-04
4.2553e+03 1.2482 4.591e-04
4.2194e+03 1.2459 5.187e-04
4.1841e+03 1.2435 5.605e-04
4.1494e+03 1.2409 5.956e-04
4.1152e+03 1.2382 6.259e-04
4.0650e+03 1.2337 6.820e-04
4.0000e+03 1.2270 7.530e-04
3.9683e+03 1.2232 7.685e-04
3.9216e+03 1.2169 7.647e-04
3.8986e+03 1.2135 7.473e-04
3.8760e+03 1.2097 7.392e-04
3.8610e+03 1.2071 7.437e-04
3.8462e+03 1.2043 7.543e-04
3.8168e+03 1.1983 8.059e-04
3.7383e+03 1.1776 1.367e-03
3.6697e+03 1.1507 3.508e-03
3.5997e+03 1.1083 1.346e-02
3.5499e+03 1.0657 3.245e-02
3.5298e+03 1.0453 4.572e-02
3.5100e+03 1.0236 6.287e-02
3.4904e+03 1.0001 8.548e-02
3.4698e+03 0.9747 1.198e-01
3.4495e+03 0.9563 1.690e-01
